Country Name,Country Code,Series Name,Series Code,2022 [YR2022],2023 [YR2023]
American Samoa,ASM,"Population ages 75-79, female",SP.POP.7579.FE,299,323
American Samoa,ASM,"Population ages 75-79, male",SP.POP.7579.MA,245,261
American Samoa,ASM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.815,7.021
American Samoa,ASM,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,..,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.752,72.852
Andorra,AND,"Population ages 80 and above, male",SP.POP.80UP.MA,1151,1203
Andorra,AND,"Population ages 80 and above, female",SP.POP.80UP.FE,1692,1757
Andorra,AND,"Population ages 65-69, male",SP.POP.6569.MA,2031,2129
Andorra,AND,"Population ages 65-69, female",SP.POP.6569.FE,1863,1980
Andorra,AND,"Population ages 70-74, female",SP.POP.7074.FE,1461,1498
Andorra,AND,"Population ages 70-74, male",SP.POP.7074.MA,1511,1549
Andorra,AND,"Population ages 75-79, female",SP.POP.7579.FE,1096,1147
Andorra,AND,"Population ages 75-79, male",SP.POP.7579.MA,1126,1203
Andorra,AND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.948,6.076
Andorra,AND,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,2.7,2.6
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.016,84.041
Angola,AGO,"Population ages 80 and above, male",SP.POP.80UP.MA,43796,45394
Angola,AGO,"Population ages 80 and above, female",SP.POP.80UP.FE,74149,77203
Angola,AGO,"Population ages 65-69, male",SP.POP.6569.MA,198537,208823
Angola,AGO,"Population ages 65-69, female",SP.POP.6569.FE,235203,247863
Angola,AGO,"Population ages 70-74, female",SP.POP.7074.FE,150620,156984
Angola,AGO,"Population ages 70-74, male",SP.POP.7074.MA,120050,125190
Angola,AGO,"Population ages 75-79, female",SP.POP.7579.FE,97395,100370
Angola,AGO,"Population ages 75-79, male",SP.POP.7579.MA,68530,71379
Angola,AGO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.097,6.925
Angola,AGO,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,66.4,64
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.246,64.617
Antigua and Barbuda,ATG,"Population ages 80 and above, male",SP.POP.80UP.MA,573,595
Antigua and Barbuda,ATG,"Population ages 80 and above, female",SP.POP.80UP.FE,1235,1280
Antigua and Barbuda,ATG,"Population ages 65-69, male",SP.POP.6569.MA,1652,1756
Antigua and Barbuda,ATG,"Population ages 65-69, female",SP.POP.6569.FE,2111,2240
Antigua and Barbuda,ATG,"Population ages 70-74, female",SP.POP.7074.FE,1524,1600
Antigua and Barbuda,ATG,"Population ages 70-74, male",SP.POP.7074.MA,1164,1226
Antigua and Barbuda,ATG,"Population ages 75-79, female",SP.POP.7579.FE,1028,1084
Antigua and Barbuda,ATG,"Population ages 75-79, male",SP.POP.7579.MA,672,708
Antigua and Barbuda,ATG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.771,6.893
Antigua and Barbuda,ATG,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,9.6,9.3
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.483,77.598
Arab World,ARB,"Population ages 80 and above, male",SP.POP.80UP.MA,1048814,1087848
Arab World,ARB,"Population ages 80 and above, female",SP.POP.80UP.FE,1593984,1653629
Arab World,ARB,"Population ages 65-69, male",SP.POP.6569.MA,4296819,4478828
Arab World,ARB,"Population ages 65-69, female",SP.POP.6569.FE,4623091,4809714
Arab World,ARB,"Population ages 70-74, female",SP.POP.7074.FE,3120931,3293618
Arab World,ARB,"Population ages 70-74, male",SP.POP.7074.MA,2741835,2893796
Arab World,ARB,"Population ages 75-79, female",SP.POP.7579.FE,1886617,1993052
Arab World,ARB,"Population ages 75-79, male",SP.POP.7579.MA,1477792,1571024
Arab World,ARB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.19978525681961,5.04104897342606
Arab World,ARB,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,34.9880873365607,31.7791999547012
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.8760955992222,72.4446783578531
Argentina,ARG,"Population ages 80 and above, male",SP.POP.80UP.MA,425580,435496
Argentina,ARG,"Population ages 80 and above, female",SP.POP.80UP.FE,844487,858214
Argentina,ARG,"Population ages 65-69, male",SP.POP.6569.MA,809510,820092
Argentina,ARG,"Population ages 65-69, female",SP.POP.6569.FE,921888,929671
Argentina,ARG,"Population ages 70-74, female",SP.POP.7074.FE,786502,797329
Argentina,ARG,"Population ages 70-74, male",SP.POP.7074.MA,628818,640804
Argentina,ARG,"Population ages 75-79, female",SP.POP.7579.FE,614506,629105
Argentina,ARG,"Population ages 75-79, male",SP.POP.7579.MA,433132,446349
Argentina,ARG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.797,7.668
Argentina,ARG,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,9.8,9.6
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.806,77.395
Armenia,ARM,"Population ages 80 and above, male",SP.POP.80UP.MA,24071,21850
Armenia,ARM,"Population ages 80 and above, female",SP.POP.80UP.FE,56234,52397
Armenia,ARM,"Population ages 65-69, male",SP.POP.6569.MA,61827,63841
Armenia,ARM,"Population ages 65-69, female",SP.POP.6569.FE,92870,96029
Armenia,ARM,"Population ages 70-74, female",SP.POP.7074.FE,63794,66207
Armenia,ARM,"Population ages 70-74, male",SP.POP.7074.MA,38499,39914
Armenia,ARM,"Population ages 75-79, female",SP.POP.7579.FE,29991,33515
Armenia,ARM,"Population ages 75-79, male",SP.POP.7579.MA,16191,17861
